cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,avg_life_Q1,avg_life_Q2,avg_life_Q3,avg_life_Q4,avg_life_M,avg_life_F,avg_life_all
30904,Pampa,57355,48,Texas,TX,78.176376,78.437614,81.88121,81.977768,83.77803,84.060295,87.208694,87.450432,75.099518,75.223206,78.158539,78.190109,82.593224,82.802391,83.085266,83.420021,76.7341785,80.0519065,83.308485,85.29110325,79.82153425,82.87130238,81.34641831
30908,Plainview,52751,48,Texas,TX,81.719711,80.168678,83.114182,82.405052,84.465988,84.465439,85.376221,85.536263,77.843254,76.004707,79.352783,78.526749,80.504128,80.455688,85.634018,85.591721,78.9340875,80.8496915,82.47281075,85.53455575,80.489131,83.40644175,81.94778638
31001,Garden City,52031,20,Kansas,KS,81.281113,80.644279,84.661781,84.30619,88.593163,88.23822,85.083099,84.963608,76.62822,75.752449,81.874001,81.4188,82.271355,81.782829,85.213318,85.01062,78.57651525,83.065193,85.22139175,85.06766125,81.243949,84.72143163,82.98269031
31004,Liberal,32998,20,Kansas,KS,79.37606,79.498734,82.612534,82.567482,84.167664,83.959961,87.641029,87.459541,78.106239,77.682335,81.174751,80.933418,82.283127,81.911163,84.51947,84.359459,78.665842,81.82204625,83.08047875,85.99487475,81.37124525,83.41037563,82.39081044
31006,Guymon,29937,40,Oklahoma,OK,79.926933,79.553268,79.985931,80.302582,84.815613,84.949593,87.746048,87.771362,78.682343,77.961464,79.984566,79.805649,81.197609,81.15313,85.443398,85.435196,79.031002,80.019682,83.02898625,86.599001,81.20791938,83.13141625,82.16966781
31007,Dumas,31880,48,Texas,TX,81.040176,80.335159,85.957199,85.345413,81.058273,80.913933,79.860878,80.019913,78.001358,76.98114,80.625801,79.796944,81.857338,81.632355,83.443069,83.36116,79.08945825,82.93133925,81.36547475,81.671255,80.71239563,81.816368,81.26438181
31101,Victoria,165277,48,Texas,TX,82.248329,81.248512,84.860939,84.179611,87.045898,86.90538,87.658875,87.568451,75.731262,74.68058,80.73951,80.085449,83.419945,83.300865,83.307098,83.238808,78.47717075,82.46637725,85.168022,85.443308,80.56293963,85.21449938,82.8887195
31102,La Grange,42194,48,Texas,TX,81.981873,82.136787,85.626884,85.835304,86.720238,86.920181,88.590363,88.732323,76.485001,76.524261,79.653732,79.867981,83.119583,83.364525,87.501183,87.633522,79.2819805,82.74597525,85.03113175,88.11434775,81.7687235,85.81799413,83.79335881
31201,Austin,1298076,48,Texas,TX,82.968819,82.291527,85.360252,84.89711,86.69178,86.365097,88.149536,88.084229,77.916344,77.303909,81.328934,80.935112,83.224701,82.988533,86.276093,86.300369,80.12014975,83.130352,84.81752775,87.20255675,82.03424938,85.60104375,83.81764656
31202,Burnet,51191,48,Texas,TX,82.673904,82.722542,83.560394,83.830017,85.793373,86.092896,87.730583,87.913773,77.031982,77.175354,80.061905,80.306793,80.443069,80.790779,85.289642,85.490234,79.9009455,81.93977725,83.28002925,86.606058,80.82371975,85.03968525,82.9317025
31301,San Antonio,1724863,48,Texas,TX,83.166931,80.763611,84.776947,83.120064,85.740364,84.670448,87.518982,87.062408,77.522072,75.235214,80.842155,79.335358,82.889534,81.934784,85.067245,84.708405,79.171957,82.018631,83.8087825,86.08926,80.94184588,84.60246938,82.77215763
31302,Beeville,47805,48,Texas,TX,83.038216,80.348442,84.906723,83.416664,85.682167,85.184464,87.32946,86.945679,74.999374,72.59494,76.935516,75.618317,81.917381,81.42823,81.948875,81.748848,77.745243,80.219305,83.5530605,84.4932155,78.39893513,84.60647688,81.502706
31303,Kerrville,64467,48,Texas,TX,83.226753,82.950706,85.078804,85.283379,85.781509,85.989769,87.085266,87.269608,77.406502,77.051315,81.16333,81.367775,82.715073,82.853371,87.111618,87.218506,80.158819,83.223322,84.3349305,87.1712495,82.11093625,85.33322425,83.72208025
31401,Midland,262282,48,Texas,TX,80.464821,79.217575,82.696365,82.265961,84.005386,83.718597,85.99807,85.909714,74.994858,73.583191,79.041,78.536438,81.436745,81.100182,84.065025,83.975548,77.06511125,80.634941,82.5652275,84.98708925,79.59162338,83.03456113,81.31309225
